dataset,enrichment_fidelity_jaccard,enrichment_fidelity_semantic,hub_gene_ndcg,analogous_systems_jaccard,analogous_systems_semantic,biological_synthesis_cosine,hypotheses_jaccard,hypotheses_semantic,novel_insights_jaccard,novel_insights_semantic,regulatory_network_mrr,hub_gene_annotation_f1,enrichment_categorization_jaccard,system_model_jaccard,publication_title_cosine,component_summaries_cosine,Tool
BP,0.0,0.5312446,0.0,0.0,0.17454177,0.11533396,0.0,0.2781375,0.0,0.48338607,0.0,0.0512820512820512,0.0,0.1333333333333333,0.20210752,0.0,Gemini (DEG Only)
BC,0.0,0.56752354,0.1580525354505185,0.0,0.3950932,0.27204722,0.0,0.39263737,0.0,0.51064885,0.0,0.3496133496133495,0.0,0.2121212121212121,0.3741986,0.49874082,Gemini (DEG Only)
MN,0.0,0.35136428,0.0,0.0,0.4960202,0.11547506,0.0,0.3757569,0.0,0.33105114,0.0,0.0,0.0,0.0,0.49461612,0.0,Gemini (DEG Only)
PD1,0.0,0.62510365,0.2390521614607393,0.0,0.5898806,0.06634528,0.0,0.4390816,0.0,0.36831284,0.0,0.2034632034632034,0.0,0.1052631578947368,0.36392635,0.0,Gemini (DEG Only)
PAD,0.0,0.5945744,0.3234992853586256,0.1428571428571428,0.598586,0.17923707,0.0,0.43804836,0.0,0.3075712,0.0,0.1439393939393939,0.0,0.0416666666666666,0.23719831,0.78709006,Gemini (DEG Only)
UV,0.0,0.2344879,0.0,0.0,0.23164959,0.1847462,0.0,0.33315268,0.0,0.35946625,0.0,0.0,0.0,0.0,0.3749534,0.0,Gemini (DEG Only)
HCM,0.0,0.25379157,0.2529427027676571,0.0,0.33990088,0.067228675,0.0,0.45278272,0.0,0.33883318,0.0,0.3174603174603174,0.0,0.0555555555555555,0.19348484,0.0,Gemini (DEG Only)
GC,0.0,0.42070222,0.4537425745411855,0.0,0.34074596,0.05217643,0.0,0.3940499,0.0,0.34325415,0.0,0.1176470588235294,0.0,0.3125,0.63818765,0.0,Gemini (DEG Only)
BP,0.0476190476190476,0.6989003,0.0518403072286664,0.0,0.32511586,0.11448847,0.0,0.25899217,0.0,0.36366487,0.0,0.0606060606060606,0.0,0.125,0.673563,0.0,Gemini (DEG + Exp)
BC,0.0,0.6460812,0.4243062013644872,0.0,0.45243916,0.061069414,0.0,0.5917688,0.0,0.4814909,0.0,0.385989010989011,0.0,0.2068965517241379,0.6699926,0.0,Gemini (DEG + Exp)
MN,0.0,0.49648303,0.0562190897619236,0.0,0.35806516,0.02290971,0.0,0.3395001,0.0,0.38380277,0.0,0.2777777777777777,0.0,0.0555555555555555,0.82839435,0.0,Gemini (DEG + Exp)
PD1,0.0,0.8498702,0.4111464973653168,0.0,0.48710436,0.08793751,0.0,0.40571666,0.0,0.4827581,0.0,0.1904761904761904,0.0,0.1538461538461538,0.66423374,0.0,Gemini (DEG + Exp)
PAD,0.2,0.8133628,0.3176854173581229,0.0,0.523993,0.08515796,0.0,0.45459178,0.0,0.3392923,0.0,0.0666666666666666,0.0,0.125,0.56941146,0.694093,Gemini (DEG + Exp)
UV,0.0454545454545454,0.76547796,0.0,0.1111111111111111,0.47657174,0.08139898,0.0,0.5342168,0.0,0.5327562,0.0,0.0,0.0416666666666666,0.1,0.6702093,0.40364563,Gemini (DEG + Exp)
HCM,0.0454545454545454,0.7690422,0.1264713513838285,0.0,0.49341056,0.08456585,0.0,0.3730099,0.0,0.4962511,0.0,0.3055555555555555,0.0,0.0555555555555555,0.5842494,0.0,Gemini (DEG + Exp)
GC,0.0,0.6135773,0.4252084336260237,0.0,0.50677854,-0.01305328,0.0,0.37690368,0.0,0.30373123,0.0,0.0888888888888888,0.0,0.3,0.5946447,0.0,Gemini (DEG + Exp)
BP,0.0454545454545454,0.7110924,0.0,0.0,0.19582766,0.12673654,0.0,0.20451304,0.0,0.37322646,0.0,0.0,0.1547619047619047,0.0,0.1750642,0.7046671,ChatGPT (DEG Only)
BC,0.0,0.5456284,0.2660786668142927,0.0,0.40243754,0.028134134,0.0,0.31951505,0.0,0.39205003,0.0,0.3383838383838384,0.1111111111111111,0.217391304347826,0.21885592,0.40347743,ChatGPT (DEG Only)
MN,0.0,0.6418326,0.0562190897619236,0.0,0.5074773,0.09404628,0.0,0.35116577,0.0,0.29288298,0.0,0.2,0.0,0.0666666666666666,0.30081958,0.6587832,ChatGPT (DEG Only)
PD1,0.0952380952380952,0.93617004,0.2048871203190219,0.0,0.5931911,0.08840147,0.0,0.35476476,0.0,0.3714282,0.0,0.2237762237762237,0.2,0.1538461538461538,0.39254326,0.54823303,ChatGPT (DEG Only)
PAD,0.0833333333333333,0.7741859,0.0797945385624481,0.0,0.29370806,0.0714129,0.0,0.33801156,0.0,0.3326521,0.0,0.1222222222222222,0.1428571428571428,0.0384615384615384,0.2083349,0.64570236,ChatGPT (DEG Only)
UV,0.0454545454545454,0.7359185,0.0,0.0,0.28385574,0.13537776,0.0,0.28471732,0.0,0.34851503,0.0,0.0,0.1666666666666666,0.0,0.41672868,0.5715292,ChatGPT (DEG Only)
HCM,0.0454545454545454,0.60440487,0.2529427027676571,0.0,0.5551692,0.11075924,0.0,0.4532499,0.0,0.36860612,0.0,0.3055555555555555,0.0,0.0833333333333333,0.19447042,0.33047852,ChatGPT (DEG Only)
GC,0.0952380952380952,0.7525039,0.2408701506905638,0.0,0.5399441,0.045941904,0.0,0.26598775,0.0,0.26555735,0.0,0.1111111111111111,0.1547619047619047,0.2777777777777778,0.4371549,0.6928235,ChatGPT (DEG Only)
BP,0.0,0.65421677,0.0,0.0,0.32511583,0.14030658,0.0,0.29664683,0.0,0.37561104,0.0,0.0,0.1,0.0666666666666666,0.6196115,0.54613805,ChatGPT (DEG + Exp)
BC,0.0,0.5412582,0.6250022023473502,0.1428571428571428,0.7800867,0.0609232,0.0,0.53838706,0.0,0.38519746,0.0,0.4324009324009324,0.0,0.2857142857142857,0.55733943,0.45679718,ChatGPT (DEG + Exp)
MN,0.0,0.6237338,0.0594034327315504,0.3333333333333333,0.8536497,0.021352373,0.0,0.37283483,0.0,0.35568133,0.0,0.2,0.0,0.09375,0.8280085,0.6236004,ChatGPT (DEG + Exp)
PD1,0.0952380952380952,0.93617004,0.3290105430655788,0.0,0.8561082,0.026137317,0.0,0.4581111,0.0,0.5930383,0.0,0.2136752136752136,0.1833333333333333,0.1538461538461538,0.66285384,0.6033077,ChatGPT (DEG + Exp)
PAD,0.04,0.7050908,0.2653827031465868,0.1428571428571428,0.7326694,0.04454853,0.0,0.3921502,0.0,0.45596755,0.0,0.1161616161616161,0.1875,0.1153846153846153,0.5527525,0.6124673,ChatGPT (DEG + Exp)
UV,0.0454545454545454,0.8496337,0.0,0.1111111111111111,0.60872144,0.11580954,0.0,0.4898291,0.0,0.45470032,0.0,0.0,0.1388888888888888,0.1111111111111111,0.7529679,0.65312004,ChatGPT (DEG + Exp)
HCM,0.0,0.69310814,0.3161783784595714,0.1428571428571428,0.72188693,0.104895085,0.0,0.43028843,0.0,0.5173077,0.0,0.3055555555555555,0.0,0.1153846153846153,0.63162136,0.53451383,ChatGPT (DEG + Exp)
GC,0.0454545454545454,0.7079455,0.2399208948023808,0.0,0.7212295,0.004337917,0.0,0.3294967,0.0,0.28598303,0.0,0.1025641025641025,0.5,0.3125,0.6068126,0.6106273,ChatGPT (DEG + Exp)
BP,0.0454545454545454,0.7389078,0.0802182735172428,0.0,0.20095164,0.06386239,0.0,0.27650374,0.0,0.37789628,0.0,0.0444444444444444,0.0833333333333333,0.1578947368421052,0.19632658,0.6447963,Claude (DEG Only)
BC,0.0416666666666666,0.6833612,0.3103967754274879,0.0,0.32668397,0.02749409,0.0,0.30680743,0.0,0.3415466,0.0,0.3491285403050109,0.2,0.2413793103448276,0.21768363,0.4408834,Claude (DEG Only)
MN,0.0,0.48823273,0.1171003762187705,0.0,0.60991496,0.057062805,0.0,0.3259633,0.0,0.3349046,0.0,0.1439393939393939,0.0,0.0772727272727272,0.4789916,0.49476093,Claude (DEG Only)
PD1,0.0454545454545454,0.90882295,0.1743631226707598,0.0,0.5888581,0.036095552,0.0,0.35117185,0.0,0.381845,0.0,0.0888888888888888,0.0,0.1666666666666666,0.40287697,0.4484759,Claude (DEG Only)
PAD,0.0833333333333333,0.78193283,0.4078135196145113,0.0,0.2868487,0.11453689,0.0,0.35898027,0.0,0.29915655,0.0,0.1444444444444444,0.125,0.125,0.11147316,0.6868411,Claude (DEG Only)
UV,0.0454545454545454,0.9292539,0.0,0.0,0.32194853,0.18094075,0.0,0.38643312,0.0,0.30726174,0.0,0.0,0.0555555555555555,0.0,0.35969704,0.547786,Claude (DEG Only)
HCM,0.0454545454545454,0.60440487,0.2529427027676571,0.0,0.22376601,0.119073756,0.0,0.41338876,0.0,0.34032723,0.0,0.2777777777777777,0.1428571428571428,0.0714285714285714,0.2966832,0.4383098,Claude (DEG Only)
GC,0.0,0.45116106,0.3405196929097571,0.0,0.43344593,0.03590873,0.0,0.35280588,0.0,0.42810455,0.0,0.074074074074074,0.0,0.3,0.5622914,0.5572207,Claude (DEG Only)
BP,0.0454545454545454,0.745869,0.1332940440923767,0.0,0.42470685,0.12741378,0.0,0.45585546,0.0,0.4646861,0.0,0.0888888888888889,0.0833333333333333,0.15,0.6056291,0.45937118,Claude (DEG + Exp)
BC,0.0,0.602201,0.4451052082034313,0.0,0.3900721,0.05175235,0.0,0.41500083,0.0,0.4584908,0.0,0.3735449735449735,0.0909090909090909,0.2,0.46299472,0.4799338,Claude (DEG + Exp)
MN,0.0,0.46122822,0.1883900089573689,0.3333333333333333,0.952513,0.06286365,0.0,0.34974894,0.0,0.30897915,0.0,0.2878787878787878,0.0,0.0588235294117647,0.7611048,0.41798759,Claude (DEG + Exp)
PD1,0.0,0.785397,0.3417895815711868,0.125,0.69559395,0.024491971,0.0,0.42228502,0.0,0.46415395,0.0,0.1481481481481481,0.0,0.2142857142857142,0.6624791,0.0,Claude (DEG + Exp)
PAD,0.0833333333333333,0.71219665,0.4968460141484391,0.0,0.3317733,0.048109747,0.0,0.4015384,0.0,0.5282056,0.0,0.1309523809523809,0.1111111111111111,0.0714285714285714,0.44466043,0.5182694,Claude (DEG + Exp)
UV,0.0454545454545454,0.8647166,0.1238880640456456,0.1111111111111111,0.49247512,0.031258684,0.0,0.45475984,0.0,0.5314519,0.3333333333333333,0.1809523809523809,0.1203703703703703,0.1111111111111111,0.7001325,0.6333844,Claude (DEG + Exp)
HCM,0.0454545454545454,0.616462,0.1264713513838285,0.0,0.5998457,0.06586431,0.0,0.5206364,0.0,0.49638343,0.0,0.2888888888888889,0.25,0.05,0.7826946,0.45187533,Claude (DEG + Exp)
GC,0.0,0.40725943,0.5521642358371538,0.0,0.4969294,0.013716681,0.0,0.39650238,0.0,0.3130671,0.0,0.1333333333333333,0.0,0.217391304347826,0.6566736,0.53117216,Claude (DEG + Exp)
BP,0.0,0.4749643,0.0530757705751338,0.0,0.51049155,0.16788533,0.0,0.3390405,0.0,0.5079481,0.0,0.0,0.125,0.1176470588235294,0.6871613,0.4789148,IAN
