Metric,Mean,Standard Deviation
enrichment_fidelity_jaccard,0.02826839826839825,0.03242242176382903
enrichment_fidelity_semantic,0.7138946187499999,0.11719118458511038
hub_gene_ndcg,0.22936226931912732,0.1966935546120431
analogous_systems_jaccard,0.1091269841269841,0.10571878416473984
analogous_systems_semantic,0.6999334625,0.16017911069331348
biological_synthesis_cosine,0.06478881774999999,0.04660223449566677
hypotheses_jaccard,0.0,0.0
hypotheses_semantic,0.41346803125,0.07625253313204464
novel_insights_jaccard,0.0,0.0
novel_insights_semantic,0.42793584125,0.09129898282251445
regulatory_network_mrr,0.0,0.0
hub_gene_annotation_f1,0.17129467754467753,0.13931522017271933
enrichment_categorization_jaccard,0.13871527777777776,0.15577309550118598
system_model_jaccard,0.15679468101343097,0.08550392611844766
publication_title_cosine,0.65149595375,0.08916710228039755
component_summaries_cosine,0.580071475,0.05934797636530078
