Metric,Mean,Standard Deviation
enrichment_fidelity_jaccard,0.05127164502164499,0.035800014761237946
enrichment_fidelity_semantic,0.71271707625,0.11208721437450059
hub_gene_ndcg,0.1375990336144884,0.1077235068406145
analogous_systems_jaccard,0.0,0.0
analogous_systems_semantic,0.42145133749999997,0.13934421207296213
biological_synthesis_cosine,0.0876012785,0.03522523734124224
hypotheses_jaccard,0.0,0.0
hypotheses_semantic,0.32149064375,0.06868563670399709
novel_insights_jaccard,0.0,0.0
novel_insights_semantic,0.34311478375000004,0.04097232173121048
regulatory_network_mrr,0.0,0.0
hub_gene_annotation_f1,0.16263111888111886,0.11918290666391583
enrichment_categorization_jaccard,0.11626984126984125,0.07096187926906834
system_model_jaccard,0.10468459680416198,0.09571139721304199
publication_title_cosine,0.2929964825,0.10145311885672044
component_summaries_cosine,0.5694617925000001,0.12865082184171103
