Metric,Mean,Standard Deviation
enrichment_fidelity_jaccard,0.027462121212121188,0.029810750452078
enrichment_fidelity_semantic,0.6494162375,0.14809601582285414
hub_gene_ndcg,0.30099356352992884,0.16826482849253255
analogous_systems_jaccard,0.07118055555555555,0.11098897366961534
analogous_systems_semantic,0.5479886775,0.18731335494969964
biological_synthesis_cosine,0.053183896625,0.03288990169622068
hypotheses_jaccard,0.0,0.0
hypotheses_semantic,0.42704090875,0.04754385290685312
novel_insights_jaccard,0.0,0.0
novel_insights_semantic,0.44567725375,0.08206557601849938
regulatory_network_mrr,0.041666666666666664,0.11023963796102458
hub_gene_annotation_f1,0.20407347282347277,0.09368708009092562
enrichment_categorization_jaccard,0.0819654882154882,0.07968444191197309
system_model_jaccard,0.13413002882312342,0.06629324714609083
publication_title_cosine,0.63454610625,0.11718530931200538
component_summaries_cosine,0.4364992325,0.17604454889591245
