Metric,Mean,Standard Deviation
enrichment_fidelity_jaccard,0.038352272727272686,0.025440724681836516
enrichment_fidelity_semantic,0.6982596675,0.16603780587399755
hub_gene_ndcg,0.21041930789077332,0.13178172488874695
analogous_systems_jaccard,0.0,0.0
analogous_systems_semantic,0.37405223,0.14595083342645512
biological_synthesis_cosine,0.07937187037499999,0.05039901092169561
hypotheses_jaccard,0.0,0.0
hypotheses_semantic,0.34650679375000004,0.04059378021382092
novel_insights_jaccard,0.0,0.0
novel_insights_semantic,0.35138031875,0.03981503136795681
regulatory_network_mrr,0.0,0.0
hub_gene_annotation_f1,0.14033719548425427,0.1109286157343394
enrichment_categorization_jaccard,0.07584325396825395,0.0707517085331623
system_model_jaccard,0.14245525156936226,0.09036220363191787
publication_title_cosine,0.3282529475,0.1421591889103811
component_summaries_cosine,0.53238426625,0.08875949509056608
