Metric,Mean,Standard Deviation
enrichment_fidelity_jaccard,0.04231601731601731,0.06331927286496979
enrichment_fidelity_semantic,0.70659937375,0.10943860294369681
hub_gene_ndcg,0.22660966226104612,0.17386450371926876
analogous_systems_jaccard,0.013888888888888888,0.0367465459870082
analogous_systems_semantic,0.45293479750000004,0.06768598701967893
biological_synthesis_cosine,0.06555932675,0.03858462157486657
hypotheses_jaccard,0.0,0.0
hypotheses_semantic,0.41683748625,0.1002120930027433
novel_insights_jaccard,0.0,0.0
novel_insights_semantic,0.42296843375000004,0.07960327729201669
regulatory_network_mrr,0.0,0.0
hub_gene_annotation_f1,0.17199501887001883,0.1299778195339341
enrichment_categorization_jaccard,0.005208333333333325,0.013779954745128054
system_model_jaccard,0.14023172708517534,0.07630380349664534
publication_title_cosine,0.6568373187500001,0.07656561752251208
component_summaries_cosine,0.13721732874999998,0.2485121035263706
