Metric,Mean,Standard Deviation
enrichment_fidelity_jaccard,0.02525252525252525,0.0440292822579866
enrichment_fidelity_semantic,0.53632975125,0.08499175466779475
hub_gene_ndcg,0.24373382776158983,0.16581270672933124
analogous_systems_jaccard,0.059523809523809514,0.11356419064487447
analogous_systems_semantic,0.5254922725,0.12472562899158625
biological_synthesis_cosine,0.10485608125,0.03366386574678495
hypotheses_jaccard,0.0,0.0
hypotheses_semantic,0.35837864875000003,0.08458730086133845
novel_insights_jaccard,0.0,0.0
novel_insights_semantic,0.42558502624999994,0.09043516255239827
regulatory_network_mrr,0.020833333333333325,0.05511981898051228
hub_gene_annotation_f1,0.19464285714285712,0.18188796270665142
enrichment_categorization_jaccard,0.215625,0.1866386465204889
system_model_jaccard,0.15135838426279602,0.0763070947259567
publication_title_cosine,0.46690561212500004,0.20852500763243254
component_summaries_cosine,0.50365838625,0.06158120170470306
